William Wolf,University of Illinois,26:19.3,178.48
David Choi,University of Illinois,26:28.9,176.56
Josh Feldman,University of Illinois,26:31.6,176.02
Jared Ripoli,University of Illinois,26:40.6,174.22
Auburn Jimenez,University of Illinois,26:55.7,171.20
Ryan Somerfield,University of Illinois,26:56.2,171.10
Michael Frintner,University of Illinois,27:00.4,170.26
Michael Gerkin,University of Illinois,27:23.9,165.56
Quinn Todzo,University of Illinois,27:29.3,164.48
Leonel Rodriguez,University of Illinois,27:30.8,164.18
Richard Skogsberg,University of Illinois,27:31.5,164.04
Zach Mesplay,University of Illinois,27:37.5,162.84
Mackenzie Bach,University of Illinois,27:51.5,160.04
Arturo Woodward-Montes,University of Illinois,28:02.8,157.78
Adam Bruyere,University of Illinois,28:07.6,156.82
Ian Brown,University of Illinois,28:33.8,151.58
Jack O'Neil,University of Illinois,28:50.4,148.26
Austin Kuehr,University of Illinois,29:10.7,144.20
Justin Shim,University of Illinois,29:10.9,144.16
Tyler Dixon,University of Illinois,29:51.8,135.98
Sean Frintner,University of Illinois,29:52.1,135.92
Alan Zhou,University of Illinois,29:54.2,135.50
Jarod Meyer,University of Illinois,30:05.3,133.28
Matt Dini,University of Illinois,30:06.0,133.14
Sean Bruyere,University of Illinois,31:01.2,122.10
Jeff Abbott,University of Illinois,31:03.8,121.58
Muneeb Ansari,University of Illinois,31:21.4,118.06
Chris Kennedy,University of Illinois,32:34.8,103.38
Jacob Anderson,University of Illinois,32:42.0,101.94
Brian Griffin,University of Illinois,33:18.7,94.60