Emma Burkhardt,University of Illinois,23:43.0,116.99
Anneliese Schulz,University of Illinois,23:48.4,115.55
Emily Condic,University of Illinois,24:06.3,110.78
Elena Palcios,University of Illinois,25:46.0,84.19
Erin McKee,University of Illinois,25:59.0,80.73
Hannah Smith,University of Illinois,26:57.5,65.13
Jillian Monier,University of Illinois,27:03.1,63.63
Noel Brindise,University of Illinois,27:38.5,54.19
Megan Frintner,University of Illinois,27:43.9,52.75
Jennifer Lemke,University of Illinois,28:15.0,44.46
Callie Rukavina,University of Illinois,29:03.0,31.66
Mariela Marquez,University of Illinois,29:10.2,29.74
Veronica Deane,University of Illinois,30:09.2,14.01
Adriana Miltko,University of Illinois,30:17.6,11.77