Brandon Holveck,University of Delaware,27:51.16,179.58
Christophe Kitson,University of Delaware,28:50.73,167.66
Paul Mallary,University of Delaware,30:38.62,146.08
Brendan Jones,University of Delaware,30:42.26,145.36
Dan Del Collo,University of Delaware,30:55.84,142.64
Alex Hughes,University of Delaware,30:59.12,141.98
Sean Goodwin,University of Delaware,31:00.15,141.78
Nicky Monroe,University of Delaware,31:07.38,140.33
Teddy Gelman,University of Delaware,31:14.69,138.87
Ben Cushman,University of Delaware,32:34.05,123.00
Nate Steinebrey,University of Delaware,32:41.78,121.45
John Wehmeyer,University of Delaware,32:43.13,121.18
Joel Turk,University of Delaware,32:56.86,118.44
Brendan Pearl,University of Delaware,33:53.66,107.08
Tim Bouchard,University of Delaware,35:05.82,92.64
Dan Foley,University of Delaware,35:23.50,89.11
Andrew Gebhart,University of Delaware,35:37.29,86.35
Andrew Fromm,University of Delaware,37:09.57,67.89