Roxanne Ramirez,University of Delaware,24:52.79,113.07
Emma Bateman,University of Delaware,26:10.06,92.46
Haley Reid,University of Delaware,26:18.84,90.12
Lexie Mcmann,University of Delaware,26:20.70,89.63
Meghan Iatarola,University of Delaware,26:29.99,87.15
Nicole Paccione,University of Delaware,27:02.89,78.38
Lydia Izzo,University of Delaware,27:24.72,72.55
Kerry Schwartz,University of Delaware,27:25.93,72.23
Hannah Foss,University of Delaware,27:40.23,68.42
Maria Gorecki,University of Delaware,28:39.15,52.71
Xia Howard,University of Delaware,28:58.63,47.51
Amanda Clarke,University of Delaware,29:05.93,45.57
Casey Birdsall,University of Delaware,29:27.63,39.78
Ally Delaney,University of Delaware,29:55.56,32.33
Keren Rams,University of Delaware,30:20.04,25.80
Abby King,University of Delaware,35:18.36,-53.75
Madeline Gerardi,University of Delaware,35:48.57,-61.81