Ryan Ixtlahuac,Harvard University,30:12.1,163.21
James Quintanilla,University of Connecticut,30:27.9,160.05
Emmett Coughlin,Providence College,30:30.4,159.55
Matthew DeLeon,University of Connecticut,30:40.3,157.57
Ben Griswold,Harvard University,30:50.4,155.55
Sam DePalma,Boston University,30:54.0,154.83
Jared Geller,University of Massachusetts,30:55.0,154.63
Drew Harrod,Providence College,30:59.4,153.75
Jake Morrman,University of Massachusetts,31:05.6,152.51
Seamus Rafferty,University of Connecticut,31:11.9,151.25
Dan Silverman,University of Massachusetts,31:16.4,150.35
Andrew Suter,University of Connecticut,31:20.3,149.57
Samuel Katten,University of Massachusetts,31:25.1,148.61
Stephen Gillinov,Harvard University,31:29.4,147.75
Adam Heislein,University of Connecticut,31:48.3,143.97
David Martinez,Boston University,31:51.1,143.41
Victor Yang,Harvard University,31:54.6,142.71
Devon Aldave,University of Connecticut,31:59.0,141.83
Zachary Herrmann,Harvard University,32:03.6,140.91
Steven Ignatowich,University of Connecticut,32:07.8,140.07
Joseph Winters,Harvard University,32:16.3,138.37
Anthony Stalter,Providence College,32:22.8,137.07
William Bryant,University of Connecticut,32:26.9,136.25
Andrew Yang,Harvard University,32:40.8,133.47
John Cassidy,University of Connecticut,32:42.5,133.13
Michael Connors,Harvard University,32:46.3,132.37
Justin Alessio,University of Connecticut,32:52.2,131.19
Roman Szewczak,University of Connecticut,32:58.4,129.95
Jonathan Choiniere,University of Connecticut,33:22.6,125.11
Daniel Ray,University of Connecticut,33:27.5,124.13
Matthew Benedict,University of Connecticut,33:30.2,123.59
Cole Wirtz,Boston University,33:49.9,119.65
Colin Harvey,Harvard University,34:52.8,107.07
Zane Ruehrwein,University of Massachusetts,34:55.9,106.45
Erik Wong,Boston University,35:02.9,105.05
Adam Kasle,University of Connecticut,35:07.6,104.11
Nick Galang,University of Massachusetts,36:02.0,93.23
Matt M,Boston University,36:08.7,91.89
Samuel Calello,University of Connecticut,36:08.9,91.85
Kevin O'Neill,Providence College,36:15.1,90.61
Matt Skowronek,Providence College,36:20.6,89.51
Benjamin Rakowski,University of Connecticut,36:28.1,88.01
Jake Simon,Boston University,36:37.8,86.07
Cameron Maltman,Harvard University,36:38.1,86.01
Tyler Takata,Boston University,36:45.7,84.49
James Lane,Boston University,36:48.9,83.85
Alex Brashears,University of Connecticut,36:50.6,83.51
Ahmed Ahmed,Harvard University,36:53.4,82.95
Alex Oleinik,Boston University,37:15.1,78.61
Micah Walter,Harvard University,37:26.6,76.31
Matt Gould,Providence College,37:30.7,75.49
John Baldino,University of Connecticut,37:37.9,74.05
Vincent Li,University of Connecticut,37:53.0,71.03
Matthew Labrecque,University of Connecticut,38:49.8,59.67
Zach Adler,University of Connecticut,38:59.7,57.69
Andrew Balmer,Providence College,39:38.7,49.89
Jake Bianca,University of Connecticut,43:53.3,-1.03
Joshua Factor,University of Connecticut,43:53.7,-1.11