Natalie Obssuth,Boston University,24:01.4,122.0933333,122.09
Michelle Alessandro,Boston University,24:41.2,111.48,111.48
Annie Geasa,Boston University,25:15.6,102.3066667,102.31
Hayley Gambone,Boston University,25:24.6,99.90666667,99.91
Erin Gibbons,University of Connecticut,25:31.0,98.2,98.20
Emma Seevak,Harvard University,25:47.2,93.88,93.88
Elizabeth McDermott,University of Massachusetts,25:53.4,92.22666667,92.23
Kristen Coyne,University of Massachusetts,26:19.7,85.21333333,85.21
Sarah Angell,Harvard University,26:38.3,80.25333333,80.25
Lucy Matzilevich,University of Massachusetts,26:43.9,78.76,78.76
Jessica Lohret,University of Connecticut,26:46.5,78.06666667,78.07
Abigail Johnston,Providence College,26:47.7,77.74666667,77.75
Erica Lane,Boston University,26:50.2,77.08,77.08
Ariane Garrett,University of Connecticut,26:59.9,74.49333333,74.49
Alyssa Tacchi,University of Connecticut,27:01.4,74.09333333,74.09
Rachel Gedansky,University of Connecticut,27:02.3,73.85333333,73.85
Nicole Faucette,University of Connecticut,27:27.9,67.02666667,67.03
Kori-Anne Citrin,University of Connecticut,27:36.7,64.68,64.68
Jennifer Moore,University of Connecticut,27:43.6,62.84,62.84
Adrianna Antigiovanni,University of Connecticut,27:43.9,62.76,62.76
Victoria Nazworth,University of Connecticut,28:11.8,55.32,55.32
Elise Huysman,University of Connecticut,28:13.8,54.78666667,54.79
Unknown Unknown,University of Massachusetts,28:20.4,53.02666667,53.03
Nicole Parenchuck,University of Connecticut,28:28.4,50.89333333,50.89
Kristen Althoff,Harvard University,28:32.5,49.8,49.80
Arriana Arroyo,Providence College,28:37.3,48.52,48.52
Alina Acosta,Harvard University,28:39.8,47.85333333,47.85
Caitlin Garvey,University of Connecticut,28:42.6,47.10666667,47.11
Francesca Esposito,University of Connecticut,28:46.5,46.06666667,46.07
Alicia Porter,University of Massachusetts,28:48.4,45.56,45.56
Tessa Morrison,University of Connecticut,28:52.4,44.49333333,44.49
Laura Turner,University of Connecticut,29:01.3,42.12,42.12
Amanda Ribeiro,Providence College,29:09.6,39.90666667,39.91
Tiffani Hui,Boston University,29:16.0,38.2,38.20
Holly LaBrecque,University of Connecticut,29:25.6,35.64,35.64
Nicole Terrizzi,University of Connecticut,30:09.0,24.06666667,24.07
Molly van Luling,University of Connecticut,30:31.1,18.17333333,18.17
Morgan DaSilva,University of Connecticut,30:39.4,15.96,15.96
Kailin Ambwani,Boston University,30:46.5,14.06666667,14.07
Sarah Ayers,University of Connecticut,30:51.9,12.62666667,12.63
Mary Broker,Harvard University,31:01.2,10.14666667,10.15
Katie Francis,University of Connecticut,31:08.6,8.173333333,8.17
Emerson Desmarais,Providence College,31:29.9,2.493333333,2.49
Shannon Foley,University of Connecticut,31:53.3,-3.746666667,-3.75
Kaila Cote,University of Connecticut,33:10.8,-24.41333333,-24.41